gvkey,datadate,fyearq,fqtr,fyr,indfmt,consol,popsrc,datafmt,Ticker,Company Name,curcdq,datacqtr,datafqtr,Capitalized Software,Cash,Common Share Outstanding,Invested Capital - Total - Quarterly,Intangible Assets - Total,Net Income (Loss),Revenue - Total,Research and Development Expense,exchg,costat,Market Value - Total,Price Close - Quarter,GIC Sub-Industries
65226,10/31/2019,2019,3,1,INDL,C,D,STD,QADA,QAD INC,USD,2019Q3,2019Q3,1.909,133.815,20.352,142.668,14.3,0.125,77.807,13.622,14,A,911.1464,46.48,45103010
65226,1/31/2020,2019,4,1,INDL,C,D,STD,QADA,QAD INC,USD,2019Q4,2019Q4,1.922,136.717,20.43,143.018,15.295,0.41,78.552,13.247,14,A,1001.4746,51.45,45103010
65226,4/30/2020,2020,1,1,INDL,C,D,STD,QADA,QAD INC,USD,2020Q1,2020Q1,1.912,140.154,20.434,139.488,14.8,-0.41,74.147,14.017,14,A,825.6455,42.32,45103010
65226,7/31/2020,2020,2,1,INDL,C,D,STD,QADA,QAD INC,USD,2020Q2,2020Q2,1.974,140.707,20.695,140.926,15.123,0.06,74.081,13.161,14,A,779.864,39.51,45103010
65226,10/31/2020,2020,3,1,INDL,C,D,STD,QADA,QAD INC,USD,2020Q3,2020Q3,2.129,143.392,20.698,146.097,15.205,3.213,76.66,14.177,14,A,828.2421,41.84,45103010
65226,1/31/2021,2020,4,1,INDL,C,D,STD,QADA,QAD INC,USD,2020Q4,2020Q4,7.98,142.501,20.705,158.801,35.674,8.202,82.977,14.729,14,A,1278.9063,64.79,45103010
65226,4/30/2021,2021,1,1,INDL,C,D,STD,QADA,QAD INC,USD,2021Q1,2021Q1,10.845,153.127,20.711,161.324,50.538,1.832,82.971,15.638,14,A,1392.6321,70.69,45103010
65226,7/31/2021,2021,2,1,INDL,C,D,STD,QADA,QAD INC,USD,2021Q2,2021Q2,10.227,136.489,21.007,131.794,49.179,-6.322,84.839,15.527,14,A,1820.0158,86.75,45103010
65460,3/31/2019,2019,1,12,INDL,C,D,STD,RDCM,RADCOM,USD,2019Q1,2019Q1,,15.579,13.7,80.438,0,-3.144,6.046,4.241,14,A,101.654,7.42,45103010
65460,6/30/2019,2019,2,12,INDL,C,D,STD,RDCM,RADCOM,USD,2019Q2,2019Q2,,11.26,13.7,80.591,0,-0.936,8.546,4.165,14,A,112.751,8.23,45103010
