gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,conm,curcdq,datacqtr,datafqtr,atq,revtq,saleq,costat,busdesc,gsubind
6013,12/31/2019,2019,4,INDL,C,D,STD,INS,INTELLIGENT SYSTEM CORP,USD,2019Q4,2019Q4,44.24,10.303,10.303,A,"Intelligent Systems Corporation, through its subsidiary, CoreCard Software, Inc., provides technology solutions and processing services to the financial technology and services market in the United States and European Union.",45103010
6013,3/31/2020,2020,1,INDL,C,D,STD,INS,INTELLIGENT SYSTEM CORP,USD,2020Q1,2020Q1,50.3,7.893,7.893,A,"Intelligent Systems Corporation, through its subsidiary, CoreCard Software, Inc., provides technology solutions and processing services to the financial technology and services market in the United States and European Union.",45103010
6013,6/30/2020,2020,2,INDL,C,D,STD,INS,INTELLIGENT SYSTEM CORP,USD,2020Q2,2020Q2,54.021,8.053,8.053,A,"Intelligent Systems Corporation, through its subsidiary, CoreCard Software, Inc., provides technology solutions and processing services to the financial technology and services market in the United States and European Union.",45103010
6013,9/30/2020,2020,3,INDL,C,D,STD,INS,INTELLIGENT SYSTEM CORP,USD,2020Q3,2020Q3,54.553,10.304,10.304,A,"Intelligent Systems Corporation, through its subsidiary, CoreCard Software, Inc., provides technology solutions and processing services to the financial technology and services market in the United States and European Union.",45103010
6013,12/31/2020,2020,4,INDL,C,D,STD,INS,INTELLIGENT SYSTEM CORP,USD,2020Q4,2020Q4,57.025,9.623,9.623,A,"Intelligent Systems Corporation, through its subsidiary, CoreCard Software, Inc., provides technology solutions and processing services to the financial technology and services market in the United States and European Union.",45103010
6013,3/31/2021,2021,1,INDL,C,D,STD,INS,INTELLIGENT SYSTEM CORP,USD,2021Q1,2021Q1,53.833,8.912,8.912,A,"Intelligent Systems Corporation, through its subsidiary, CoreCard Software, Inc., provides technology solutions and processing services to the financial technology and services market in the United States and European Union.",45103010
6013,6/30/2021,2021,2,INDL,C,D,STD,INS,INTELLIGENT SYSTEM CORP,USD,2021Q2,2021Q2,52.615,13.355,13.355,A,"Intelligent Systems Corporation, through its subsidiary, CoreCard Software, Inc., provides technology solutions and processing services to the financial technology and services market in the United States and European Union.",45103010
6013,9/30/2021,2021,3,INDL,C,D,STD,INS,INTELLIGENT SYSTEM CORP,USD,2021Q3,2021Q3,54.29,12.935,12.935,A,"Intelligent Systems Corporation, through its subsidiary, CoreCard Software, Inc., provides technology solutions and processing services to the financial technology and services market in the United States and European Union.",45103010
6100,3/31/2019,2019,1,INDL,C,D,STD,IDCC,INTERDIGITAL INC,USD,2019Q1,2019Q1,1479.751,74.131,74.131,A,"InterDigital, Inc. designs and develops technologies that enable and enhance wireless communications in the United States and internationally.",45103010
6100,6/30/2019,2019,2,INDL,C,D,STD,IDCC,INTERDIGITAL INC,USD,2019Q2,2019Q2,1545.066,75.609,75.609,A,"InterDigital, Inc. designs and develops technologies that enable and enhance wireless communications in the United States and internationally.",45103010
6100,9/30/2019,2019,3,INDL,C,D,STD,IDCC,INTERDIGITAL INC,USD,2019Q3,2019Q3,1628.302,72.523,72.523,A,"InterDigital, Inc. designs and develops technologies that enable and enhance wireless communications in the United States and internationally.",45103010
6100,12/31/2019,2019,4,INDL,C,D,STD,IDCC,INTERDIGITAL INC,USD,2019Q4,2019Q4,1612.082,102.161,102.161,A,"InterDigital, Inc. designs and develops technologies that enable and enhance wireless communications in the United States and internationally.",45103010
6100,3/31/2020,2020,1,INDL,C,D,STD,IDCC,INTERDIGITAL INC,USD,2020Q1,2020Q1,1464.73,76.21,76.21,A,"InterDigital, Inc. designs and develops technologies that enable and enhance wireless communications in the United States and internationally.",45103010
6100,6/30/2020,2020,2,INDL,C,D,STD,IDCC,INTERDIGITAL INC,USD,2020Q2,2020Q2,1538.765,104.498,104.498,A,"InterDigital, Inc. designs and develops technologies that enable and enhance wireless communications in the United States and internationally.",45103010
6100,9/30/2020,2020,3,INDL,C,D,STD,IDCC,INTERDIGITAL INC,USD,2020Q3,2020Q3,1640.494,87.493,87.493,A,"InterDigital, Inc. designs and develops technologies that enable and enhance wireless communications in the United States and internationally.",45103010
6100,12/31/2020,2020,4,INDL,C,D,STD,IDCC,INTERDIGITAL INC,USD,2020Q4,2020Q4,1616.275,90.79,90.79,A,"InterDigital, Inc. designs and develops technologies that enable and enhance wireless communications in the United States and internationally.",45103010
6100,3/31/2021,2021,1,INDL,C,D,STD,IDCC,INTERDIGITAL INC,USD,2021Q1,2021Q1,1561.874,82.363,82.363,A,"InterDigital, Inc. designs and develops technologies that enable and enhance wireless communications in the United States and internationally.",45103010
6100,6/30/2021,2021,2,INDL,C,D,STD,IDCC,INTERDIGITAL INC,USD,2021Q2,2021Q2,1497.083,87.735,87.735,A,"InterDigital, Inc. designs and develops technologies that enable and enhance wireless communications in the United States and internationally.",45103010
6100,9/30/2021,2021,3,INDL,C,D,STD,IDCC,INTERDIGITAL INC,USD,2021Q3,2021Q3,1700.612,143.496,143.496,A,"InterDigital, Inc. designs and develops technologies that enable and enhance wireless communications in the United States and internationally.",45103010
7648,3/31/2019,2019,1,INDL,C,D,STD,NCR,NCR CORP,USD,2019Q1,2019Q1,8198,1536,1536,A,"NCR Corporation provides software and services worldwide. It operates through Banking, Retail, Hospitality, and Telecommunications and Technology segments.",45103010
7648,6/30/2019,2019,2,INDL,C,D,STD,NCR,NCR CORP,USD,2019Q2,2019Q2,8222,1710,1710,A,"NCR Corporation provides software and services worldwide. It operates through Banking, Retail, Hospitality, and Telecommunications and Technology segments.",45103010
7648,9/30/2019,2019,3,INDL,C,D,STD,NCR,NCR CORP,USD,2019Q3,2019Q3,8451,1783,1783,A,"NCR Corporation provides software and services worldwide. It operates through Banking, Retail, Hospitality, and Telecommunications and Technology segments.",45103010
7648,12/31/2019,2019,4,INDL,C,D,STD,NCR,NCR CORP,USD,2019Q4,2019Q4,8987,1886,1886,A,"NCR Corporation provides software and services worldwide. It operates through Banking, Retail, Hospitality, and Telecommunications and Technology segments.",45103010
7648,3/31/2020,2020,1,INDL,C,D,STD,NCR,NCR CORP,USD,2020Q1,2020Q1,9555,1503,1503,A,"NCR Corporation provides software and services worldwide. It operates through Banking, Retail, Hospitality, and Telecommunications and Technology segments.",45103010
7648,6/30/2020,2020,2,INDL,C,D,STD,NCR,NCR CORP,USD,2020Q2,2020Q2,9949,1484,1484,A,"NCR Corporation provides software and services worldwide. It operates through Banking, Retail, Hospitality, and Telecommunications and Technology segments.",45103010
7648,9/30/2020,2020,3,INDL,C,D,STD,NCR,NCR CORP,USD,2020Q3,2020Q3,9828,1589,1589,A,"NCR Corporation provides software and services worldwide. It operates through Banking, Retail, Hospitality, and Telecommunications and Technology segments.",45103010
7648,12/31/2020,2020,4,INDL,C,D,STD,NCR,NCR CORP,USD,2020Q4,2020Q4,8414,1631,1631,A,"NCR Corporation provides software and services worldwide. It operates through Banking, Retail, Hospitality, and Telecommunications and Technology segments.",45103010
7648,3/31/2021,2021,1,INDL,C,D,STD,NCR,NCR CORP,USD,2021Q1,2021Q1,8702,1544,1544,A,"NCR Corporation provides software and services worldwide. It operates through Banking, Retail, Hospitality, and Telecommunications and Technology segments.",45103010
7648,6/30/2021,2021,2,INDL,C,D,STD,NCR,NCR CORP,USD,2021Q2,2021Q2,12063,1677,1677,A,"NCR Corporation provides software and services worldwide. It operates through Banking, Retail, Hospitality, and Telecommunications and Technology segments.",45103010
7648,9/30/2021,2021,3,INDL,C,D,STD,NCR,NCR CORP,USD,2021Q3,2021Q3,11589,1901,1901,A,"NCR Corporation provides software and services worldwide. It operates through Banking, Retail, Hospitality, and Telecommunications and Technology segments.",45103010
8599,3/31/2019,2018,4,INDL,C,D,STD,AGYS,AGILYSYS INC,USD,2019Q1,2018Q4,163.591,36.618,36.618,A,"Agilysys, Inc., together with its subsidiaries, operates as a developer and marketer of hardware and software products and services to the hospitality industry in North America, Europe, the Asia-Pacific, and India.",45103010
8599,6/30/2019,2019,1,INDL,C,D,STD,AGYS,AGILYSYS INC,USD,2019Q2,2019Q1,167.448,38.389,38.389,A,"Agilysys, Inc., together with its subsidiaries, operates as a developer and marketer of hardware and software products and services to the hospitality industry in North America, Europe, the Asia-Pacific, and India.",45103010
8599,9/30/2019,2019,2,INDL,C,D,STD,AGYS,AGILYSYS INC,USD,2019Q3,2019Q2,163.795,40.722,40.722,A,"Agilysys, Inc., together with its subsidiaries, operates as a developer and marketer of hardware and software products and services to the hospitality industry in North America, Europe, the Asia-Pacific, and India.",45103010
8599,12/31/2019,2019,3,INDL,C,D,STD,AGYS,AGILYSYS INC,USD,2019Q4,2019Q3,171.828,41.987,41.987,A,"Agilysys, Inc., together with its subsidiaries, operates as a developer and marketer of hardware and software products and services to the hospitality industry in North America, Europe, the Asia-Pacific, and India.",45103010
8599,3/31/2020,2019,4,INDL,C,D,STD,AGYS,AGILYSYS INC,USD,2020Q1,2019Q4,154.562,39.659,39.659,A,"Agilysys, Inc., together with its subsidiaries, operates as a developer and marketer of hardware and software products and services to the hospitality industry in North America, Europe, the Asia-Pacific, and India.",45103010
8599,6/30/2020,2020,1,INDL,C,D,STD,AGYS,AGILYSYS INC,USD,2020Q2,2020Q1,176.103,29.807,29.807,A,"Agilysys, Inc., together with its subsidiaries, operates as a developer and marketer of hardware and software products and services to the hospitality industry in North America, Europe, the Asia-Pacific, and India.",45103010
8599,9/30/2020,2020,2,INDL,C,D,STD,AGYS,AGILYSYS INC,USD,2020Q3,2020Q2,173.714,34.359,34.359,A,"Agilysys, Inc., together with its subsidiaries, operates as a developer and marketer of hardware and software products and services to the hospitality industry in North America, Europe, the Asia-Pacific, and India.",45103010
8599,12/31/2020,2020,3,INDL,C,D,STD,AGYS,AGILYSYS INC,USD,2020Q4,2020Q3,189.201,36.674,36.674,A,"Agilysys, Inc., together with its subsidiaries, operates as a developer and marketer of hardware and software products and services to the hospitality industry in North America, Europe, the Asia-Pacific, and India.",45103010
8599,3/31/2021,2020,4,INDL,C,D,STD,AGYS,AGILYSYS INC,USD,2021Q1,2020Q4,189.873,36.336,36.336,A,"Agilysys, Inc., together with its subsidiaries, operates as a developer and marketer of hardware and software products and services to the hospitality industry in North America, Europe, the Asia-Pacific, and India.",45103010
8599,6/30/2021,2021,1,INDL,C,D,STD,AGYS,AGILYSYS INC,USD,2021Q2,2021Q1,189.485,38.725,38.725,A,"Agilysys, Inc., together with its subsidiaries, operates as a developer and marketer of hardware and software products and services to the hospitality industry in North America, Europe, the Asia-Pacific, and India.",45103010
8599,9/30/2021,2021,2,INDL,C,D,STD,AGYS,AGILYSYS INC,USD,2021Q3,2021Q2,188.1,37.892,37.892,A,"Agilysys, Inc., together with its subsidiaries, operates as a developer and marketer of hardware and software products and services to the hospitality industry in North America, Europe, the Asia-Pacific, and India.",45103010
9551,3/31/2019,2018,4,INDL,C,D,STD,APPS,DIGITAL TURBINE INC,USD,2019Q1,2018Q4,82.861,27.192,27.192,A,"Digital Turbine, Inc., through its subsidiaries, provides media and mobile communication products and solutions for mobile operators, application advertisers, publishers, device original equipment manufacturers (OEMs), and other third parties.",45103010
9551,6/30/2019,2019,1,INDL,C,D,STD,APPS,DIGITAL TURBINE INC,USD,2019Q2,2019Q1,90.717,30.553,30.553,A,"Digital Turbine, Inc., through its subsidiaries, provides media and mobile communication products and solutions for mobile operators, application advertisers, publishers, device original equipment manufacturers (OEMs), and other third parties.",45103010
9551,9/30/2019,2019,2,INDL,C,D,STD,APPS,DIGITAL TURBINE INC,USD,2019Q3,2019Q2,102.222,32.795,32.795,A,"Digital Turbine, Inc., through its subsidiaries, provides media and mobile communication products and solutions for mobile operators, application advertisers, publishers, device original equipment manufacturers (OEMs), and other third parties.",45103010
